chunk,accuracy
0,0.0
1,0.135
2,0.425
3,0.665
4,0.735
5,0.775
6,0.8
7,0.825
8,0.82
9,0.8
10,0.875
11,0.91
12,0.9
13,0.905
14,0.86
15,0.93
16,0.93
17,0.915
18,0.93
19,0.91
20,0.92
21,0.915
22,0.945
23,0.935
24,0.95
25,0.92
26,0.925
27,0.94
28,0.93
29,0.895
30,0.905
31,0.885
32,0.915
33,0.865
34,0.925
35,0.9
36,0.9
37,0.875
38,0.93
39,0.91
40,0.89
41,0.935
42,0.89
43,0.905
44,0.905
45,0.92
46,0.93
47,0.905
48,0.89
49,0.925
50,0.91
51,0.885
52,0.875
53,0.89
54,0.89
55,0.905
56,0.94
57,0.905
58,0.915
59,0.875
60,0.89
61,0.935
62,0.88
63,0.895
64,0.925
65,0.905
66,0.925
67,0.9
68,0.9
69,0.92
70,0.915
71,0.93
72,0.93
73,0.91
74,0.925
75,0.905
76,0.925
77,0.93
78,0.915
79,0.92
80,0.925
81,0.895
82,0.845
83,0.92
84,0.92
85,0.935
86,0.875
87,0.905
88,0.86
89,0.92
90,0.915
91,0.91
92,0.915
93,0.92
94,0.885
95,0.925
96,0.92
97,0.94
98,0.9
99,0.91
100,0.905
101,0.88
102,0.885
103,0.895
104,0.91
105,0.91
106,0.885
107,0.905
108,0.93
109,0.89
110,0.92
111,0.92
112,0.885
113,0.915
114,0.89
115,0.93
116,0.945
117,0.89
118,0.915
119,0.925
120,0.86
121,0.93
122,0.93
123,0.905
124,0.92
125,0.895
126,0.89
127,0.905
128,0.89
129,0.885
130,0.885
131,0.935
132,0.89
133,0.87
134,0.94
135,0.92
136,0.89
137,0.845
138,0.9
139,0.93
140,0.905
141,0.92
142,0.885
143,0.94
144,0.935
145,0.91
146,0.895
147,0.88
148,0.925
149,0.92
150,0.91
151,0.885
152,0.92
153,0.915
154,0.915
155,0.905
156,0.91
157,0.67
158,0.655
159,0.735
160,0.755
161,0.76
162,0.79
163,0.75
164,0.745
165,0.79
166,0.855
167,0.805
168,0.805
169,0.84
170,0.84
171,0.76
172,0.78
173,0.84
174,0.8
175,0.75
176,0.77
177,0.83
178,0.795
179,0.785
180,0.84
181,0.77
182,0.79
183,0.805
184,0.71
185,0.79
186,0.815
187,0.825
188,0.72
189,0.8
190,0.75
191,0.79
192,0.81
193,0.735
194,0.77
195,0.82
196,0.8
197,0.795
198,0.77
199,0.73
200,0.815
201,0.755
202,0.77
203,0.835
204,0.75
205,0.805
206,0.805
207,0.78
208,0.81
209,0.745
210,0.8
211,0.79
212,0.745
213,0.825
214,0.765
215,0.72
216,0.815
217,0.83
218,0.795
219,0.85
220,0.8
221,0.78
222,0.805
223,0.795
224,0.735
225,0.78
226,0.805
227,0.765
228,0.745
229,0.79
230,0.8
231,0.8
232,0.755
233,0.825
234,0.81
235,0.8
236,0.8
237,0.76
238,0.785
239,0.835
240,0.825
241,0.76
242,0.81
243,0.76
244,0.82
245,0.84
246,0.815
247,0.825
248,0.8
249,0.845
250,0.795
251,0.755
252,0.775
253,0.76
254,0.825
255,0.825
256,0.795
257,0.795
258,0.825
259,0.79
260,0.765
261,0.775
262,0.82
263,0.765
264,0.76
265,0.755
266,0.84
267,0.815
268,0.755
269,0.805
270,0.795
271,0.845
272,0.815
273,0.79
274,0.805
275,0.735
276,0.77
277,0.835
278,0.82
279,0.785
280,0.78
281,0.805
282,0.79
283,0.805
284,0.72
285,0.79
286,0.765
287,0.8
288,0.785
289,0.805
290,0.82
291,0.82
292,0.775
293,0.755
294,0.78
295,0.735
296,0.795
297,0.79
298,0.785
299,0.86
300,0.835
301,0.78
302,0.8
303,0.79
304,0.765
305,0.795
306,0.81
307,0.76
308,0.83
309,0.75
310,0.755
311,0.715
312,0.83
313,0.785
