chunk,accuracy
0,0.0
1,0.135
2,0.515
3,0.595
4,0.72
5,0.7
6,0.8
7,0.895
8,0.865
9,0.895
10,0.89
11,0.92
12,0.88
13,0.92
14,0.905
15,0.865
16,0.915
17,0.92
18,0.9
19,0.92
20,0.925
21,0.97
22,0.93
23,0.925
24,0.925
25,0.89
26,0.94
27,0.94
28,0.925
29,0.95
30,0.945
31,0.94
32,0.935
33,0.955
34,0.915
35,0.92
36,0.87
37,0.955
38,0.94
39,0.955
40,0.915
41,0.95
42,0.925
43,0.975
44,0.58
45,0.93
46,0.94
47,0.945
48,0.905
49,0.965
50,0.94
51,0.9
52,0.915
53,0.93
54,0.915
55,0.925
56,0.84
57,0.975
58,0.94
59,0.98
60,0.99
61,0.96
62,0.96
63,0.945
64,0.95
65,0.97
66,0.94
67,0.97
68,0.97
69,0.95
70,0.965
71,0.935
72,0.96
73,0.96
74,0.925
75,0.965
76,0.975
77,0.965
78,0.95
79,0.95
80,0.87
81,0.97
82,0.66
83,0.97
84,0.96
85,0.975
86,0.96
87,0.935
88,0.96
89,0.945
90,0.81
91,0.95
92,0.93
93,0.965
94,0.955
95,0.96
96,0.985
97,0.95
98,0.94
99,0.89
100,0.965
101,0.95
102,0.95
103,0.955
104,0.965
105,0.95
106,0.965
107,0.94
108,0.985
109,0.955
110,0.95
111,0.985
112,0.96
113,0.955
114,0.895
115,0.97
116,0.965
117,0.99
118,0.97
119,0.96
120,0.97
121,0.97
122,0.96
123,0.985
124,0.975
125,0.95
126,0.93
127,0.895
128,0.955
129,0.935
130,0.94
131,0.945
132,0.975
133,0.815
134,0.88
135,0.85
136,0.835
137,0.955
138,0.905
139,0.935
140,0.98
141,0.94
142,0.965
143,0.865
144,0.98
145,0.98
146,0.925
147,0.98
148,0.96
149,0.935
150,0.94
151,0.97
152,0.975
153,0.96
154,0.955
155,0.96
156,0.975
157,0.885
158,0.535
159,0.735
160,0.78
161,0.895
162,0.905
163,0.935
164,0.935
165,0.965
166,0.925
167,0.875
168,0.915
169,0.88
170,0.96
171,0.905
172,0.92
173,0.94
174,0.975
175,0.925
176,0.91
177,0.96
178,0.95
179,0.96
180,0.945
181,0.865
182,0.815
183,0.94
184,0.91
185,0.845
186,0.88
187,0.895
188,0.955
189,0.945
190,0.925
191,0.955
192,0.885
193,0.815
194,0.9
195,0.9
196,0.935
197,0.935
198,0.92
199,0.945
200,0.94
201,0.95
202,0.94
203,0.925
204,0.97
205,0.88
206,0.95
207,0.94
208,0.965
209,0.945
210,0.955
211,0.97
212,0.89
213,0.9
214,0.93
215,0.935
216,0.965
217,0.88
218,0.97
219,0.95
220,0.935
221,0.975
222,0.945
223,0.93
224,0.875
225,0.96
226,0.935
227,0.93
228,0.945
229,0.93
230,0.955
231,0.915
232,0.935
233,0.85
234,0.88
235,0.955
236,0.915
237,0.835
238,0.94
239,0.93
240,0.91
241,0.785
242,0.955
243,0.945
244,0.725
245,0.93
246,0.925
247,0.93
248,0.69
249,0.945
250,0.915
251,0.945
252,0.915
253,0.83
254,0.94
255,0.865
256,0.945
257,0.93
258,0.675
259,0.935
260,0.93
261,0.91
262,0.865
263,0.865
264,0.92
265,0.93
266,0.955
267,0.945
268,0.95
269,0.94
270,0.93
271,0.745
272,0.95
273,0.94
274,0.97
275,0.95
276,0.94
277,0.935
278,0.945
279,0.97
280,0.945
281,0.85
282,0.945
283,0.95
284,0.965
285,0.93
286,0.97
287,0.97
288,0.975
289,0.945
290,0.94
291,0.965
292,0.905
293,0.945
294,0.97
295,0.915
296,0.93
297,0.945
298,0.87
299,0.965
300,0.905
301,0.95
302,0.93
303,0.94
304,0.965
305,0.945
306,0.95
307,0.93
308,0.925
309,0.96
310,0.92
311,0.93
312,0.955
313,0.94
