chunk,accuracy
0,0.0
1,0.145
2,0.415
3,0.64
4,0.72
5,0.69
6,0.78
7,0.815
8,0.86
9,0.9
10,0.83
11,0.905
12,0.92
13,0.9
14,0.94
15,0.935
16,0.885
17,0.925
18,0.825
19,0.875
20,0.93
21,0.935
22,0.865
23,0.885
24,0.905
25,0.925
26,0.92
27,0.905
28,0.86
29,0.935
30,0.905
31,0.89
32,0.895
33,0.92
34,0.925
35,0.89
36,0.95
37,0.915
38,0.91
39,0.92
40,0.93
41,0.955
42,0.92
43,0.925
44,0.93
45,0.88
46,0.905
47,0.88
48,0.915
49,0.925
50,0.895
51,0.87
52,0.895
53,0.88
54,0.92
55,0.905
56,0.9
57,0.89
58,0.91
59,0.925
60,0.95
61,0.915
62,0.92
63,0.915
64,0.885
65,0.905
66,0.905
67,0.88
68,0.87
69,0.92
70,0.91
71,0.945
72,0.89
73,0.93
74,0.865
75,0.89
76,0.93
77,0.905
78,0.9
79,0.94
80,0.89
81,0.885
82,0.89
83,0.94
84,0.915
85,0.92
86,0.9
87,0.9
88,0.905
89,0.94
90,0.93
91,0.915
92,0.86
93,0.9
94,0.915
95,0.92
96,0.935
97,0.91
98,0.885
99,0.925
100,0.895
101,0.915
102,0.905
103,0.925
104,0.9
105,0.885
106,0.935
107,0.855
108,0.925
109,0.895
110,0.89
111,0.865
112,0.915
113,0.895
114,0.895
115,0.925
116,0.92
117,0.92
118,0.93
119,0.89
120,0.895
121,0.9
122,0.89
123,0.925
124,0.925
125,0.9
126,0.915
127,0.895
128,0.9
129,0.91
130,0.91
131,0.905
132,0.93
133,0.88
134,0.915
135,0.915
136,0.9
137,0.915
138,0.905
139,0.885
140,0.92
141,0.905
142,0.9
143,0.915
144,0.925
145,0.865
146,0.905
147,0.92
148,0.915
149,0.935
150,0.91
151,0.91
152,0.945
153,0.925
154,0.88
155,0.915
156,0.91
157,0.56
158,0.665
159,0.76
160,0.77
161,0.77
162,0.765
163,0.785
164,0.81
165,0.815
166,0.8
167,0.81
168,0.74
169,0.765
170,0.815
171,0.745
172,0.765
173,0.82
174,0.815
175,0.845
176,0.795
177,0.79
178,0.82
179,0.83
180,0.83
181,0.79
182,0.79
183,0.765
184,0.805
185,0.855
186,0.75
187,0.77
188,0.765
189,0.745
190,0.785
191,0.8
192,0.82
193,0.825
194,0.78
195,0.765
196,0.81
197,0.785
198,0.8
199,0.81
200,0.765
201,0.8
202,0.78
203,0.81
204,0.805
205,0.765
206,0.82
207,0.845
208,0.855
209,0.76
210,0.81
211,0.83
212,0.835
213,0.845
214,0.785
215,0.785
216,0.805
217,0.78
218,0.745
219,0.8
220,0.795
221,0.8
222,0.79
223,0.765
224,0.835
225,0.8
226,0.725
227,0.79
228,0.775
229,0.77
230,0.775
231,0.805
232,0.74
233,0.84
234,0.74
235,0.795
236,0.805
237,0.815
238,0.825
239,0.775
240,0.83
241,0.815
242,0.82
243,0.815
244,0.825
245,0.77
246,0.735
247,0.805
248,0.795
249,0.805
250,0.79
251,0.835
252,0.755
253,0.85
254,0.84
255,0.785
256,0.84
257,0.78
258,0.835
259,0.8
260,0.78
261,0.81
262,0.83
263,0.76
264,0.75
265,0.74
266,0.795
267,0.78
268,0.775
269,0.81
270,0.785
271,0.805
272,0.74
273,0.78
274,0.805
275,0.825
276,0.835
277,0.805
278,0.81
279,0.84
280,0.78
281,0.795
282,0.795
283,0.785
284,0.795
285,0.805
286,0.795
287,0.84
288,0.775
289,0.785
290,0.81
291,0.755
292,0.75
293,0.73
294,0.825
295,0.77
296,0.785
297,0.75
298,0.72
299,0.82
300,0.815
301,0.835
302,0.75
303,0.76
304,0.76
305,0.78
306,0.78
307,0.795
308,0.82
309,0.81
310,0.72
311,0.815
312,0.75
313,0.81
