chunk,accuracy
0,0.0
1,0.115
2,0.29
3,0.425
4,0.49
5,0.62
6,0.62
7,0.74
8,0.59
9,0.81
10,0.765
11,0.79
12,0.785
13,0.795
14,0.8
15,0.835
16,0.88
17,0.815
18,0.83
19,0.88
20,0.865
21,0.825
22,0.79
23,0.84
24,0.775
25,0.81
26,0.8
27,0.825
28,0.76
29,0.76
30,0.83
31,0.825
32,0.795
33,0.815
34,0.795
35,0.755
36,0.78
37,0.795
38,0.83
39,0.835
40,0.82
41,0.8
42,0.82
43,0.805
44,0.81
45,0.76
46,0.78
47,0.78
48,0.815
49,0.805
50,0.825
51,0.8
52,0.82
53,0.8
54,0.81
55,0.735
56,0.745
57,0.83
58,0.79
59,0.845
60,0.805
61,0.76
62,0.795
63,0.77
64,0.795
65,0.79
66,0.79
67,0.825
68,0.745
69,0.785
70,0.8
71,0.8
72,0.805
73,0.785
74,0.775
75,0.82
76,0.855
77,0.81
78,0.805
79,0.82
80,0.775
81,0.805
82,0.755
83,0.815
84,0.785
85,0.695
86,0.765
87,0.78
88,0.8
89,0.785
90,0.75
91,0.75
92,0.755
93,0.685
94,0.76
95,0.82
96,0.765
97,0.78
98,0.85
99,0.765
100,0.775
101,0.72
102,0.795
103,0.755
104,0.815
105,0.805
106,0.83
107,0.795
108,0.855
109,0.785
110,0.81
111,0.79
112,0.82
113,0.785
114,0.785
115,0.775
116,0.785
117,0.855
118,0.785
119,0.765
120,0.8
121,0.77
122,0.795
123,0.81
124,0.745
125,0.84
126,0.725
127,0.79
128,0.76
129,0.755
130,0.755
131,0.845
132,0.785
133,0.775
134,0.77
135,0.815
136,0.79
137,0.82
138,0.77
139,0.78
140,0.77
141,0.77
142,0.785
143,0.805
144,0.8
145,0.8
146,0.81
147,0.845
148,0.84
149,0.78
150,0.82
151,0.79
152,0.815
153,0.82
154,0.8
155,0.8
156,0.8
157,0.795
158,0.83
159,0.885
160,0.905
161,0.865
162,0.88
163,0.885
164,0.89
165,0.835
166,0.89
167,0.89
168,0.895
169,0.89
170,0.915
171,0.885
172,0.85
173,0.93
174,0.89
175,0.9
176,0.925
177,0.905
178,0.9
179,0.925
180,0.895
181,0.89
182,0.93
183,0.9
184,0.935
185,0.93
186,0.885
187,0.885
188,0.92
189,0.895
190,0.88
191,0.895
192,0.925
193,0.945
194,0.92
195,0.92
196,0.925
197,0.93
198,0.88
199,0.88
200,0.91
201,0.9
202,0.91
203,0.875
204,0.905
205,0.9
206,0.925
207,0.935
208,0.905
209,0.915
210,0.87
211,0.89
212,0.91
213,0.91
214,0.915
215,0.92
216,0.915
217,0.915
218,0.875
219,0.94
220,0.895
221,0.92
222,0.895
223,0.88
224,0.91
225,0.89
226,0.895
227,0.915
228,0.92
229,0.93
230,0.9
231,0.905
232,0.92
233,0.87
234,0.875
235,0.865
236,0.89
237,0.92
238,0.91
239,0.88
240,0.915
241,0.93
242,0.885
243,0.92
244,0.88
245,0.92
246,0.925
247,0.91
248,0.88
249,0.94
250,0.89
251,0.92
252,0.92
253,0.93
254,0.905
255,0.865
256,0.9
257,0.89
258,0.95
259,0.92
260,0.885
261,0.87
262,0.845
263,0.89
264,0.895
265,0.9
266,0.9
267,0.93
268,0.9
269,0.92
270,0.945
271,0.895
272,0.9
273,0.885
274,0.87
275,0.895
276,0.93
277,0.895
278,0.92
279,0.93
280,0.9
281,0.91
282,0.945
283,0.88
284,0.87
285,0.905
286,0.92
287,0.87
288,0.875
289,0.86
290,0.91
291,0.885
292,0.92
293,0.875
294,0.91
295,0.92
296,0.915
297,0.92
298,0.905
299,0.925
300,0.86
301,0.91
302,0.915
303,0.935
304,0.9
305,0.95
306,0.91
307,0.895
308,0.89
309,0.885
310,0.905
311,0.925
312,0.9
313,0.95
