chunk,accuracy
0,0.0
1,0.12
2,0.385
3,0.48
4,0.7
5,0.63
6,0.73
7,0.84
8,0.785
9,0.905
10,0.85
11,0.83
12,0.875
13,0.95
14,0.88
15,0.965
16,0.925
17,0.915
18,0.95
19,0.895
20,0.92
21,0.88
22,0.955
23,0.96
24,0.985
25,0.94
26,0.9
27,0.925
28,0.97
29,0.965
30,0.92
31,0.955
32,0.965
33,0.895
34,0.945
35,0.96
36,0.965
37,0.835
38,0.975
39,0.82
40,0.9
41,0.69
42,0.8
43,0.93
44,0.965
45,0.805
46,0.96
47,0.965
48,0.9
49,0.96
50,0.93
51,0.935
52,0.9
53,0.95
54,0.85
55,0.955
56,0.915
57,0.965
58,0.865
59,0.945
60,0.965
61,0.935
62,0.965
63,0.945
64,0.96
65,0.9
66,0.95
67,0.95
68,0.93
69,0.975
70,0.955
71,0.955
72,0.94
73,0.8
74,0.885
75,0.975
76,0.955
77,0.8
78,0.935
79,0.83
80,0.985
81,0.915
82,0.935
83,0.975
84,0.97
85,0.875
86,0.94
87,0.91
88,0.94
89,0.95
90,0.945
91,0.935
92,0.98
93,0.985
94,0.975
95,0.955
96,0.955
97,0.965
98,0.94
99,0.925
100,0.965
101,0.93
102,0.93
103,0.85
104,0.965
105,0.965
106,0.92
107,0.895
108,0.95
109,0.97
110,0.955
111,0.76
112,0.935
113,0.96
114,0.95
115,0.89
116,0.975
117,0.99
118,0.975
119,0.97
120,0.935
121,0.935
122,0.97
123,0.945
124,0.935
125,0.94
126,0.985
127,0.965
128,0.975
129,0.935
130,0.81
131,0.98
132,0.9
133,0.95
134,0.965
135,0.98
136,0.9
137,0.925
138,0.92
139,0.875
140,0.91
141,0.9
142,0.97
143,0.97
144,0.85
145,0.98
146,0.95
147,0.97
148,0.96
149,0.975
150,0.975
151,0.955
152,0.96
153,0.965
154,0.98
155,0.965
156,0.935
157,0.785
158,0.745
159,0.935
160,0.89
161,0.875
162,0.715
163,0.935
164,0.88
165,0.805
166,0.92
167,0.925
168,0.54
169,0.71
170,0.91
171,0.78
172,0.88
173,0.935
174,0.94
175,0.895
176,0.895
177,0.92
178,0.89
179,0.935
180,0.945
181,0.935
182,0.895
183,0.94
184,0.79
185,0.935
186,0.94
187,0.915
188,0.75
189,0.78
190,0.82
191,0.895
192,0.845
193,0.925
194,0.93
195,0.915
196,0.885
197,0.925
198,0.95
199,0.93
200,0.89
201,0.955
202,0.865
203,0.955
204,0.87
205,0.89
206,0.93
207,0.935
208,0.955
209,0.91
210,0.935
211,0.935
212,0.93
213,0.855
214,0.92
215,0.895
216,0.9
217,0.915
218,0.77
219,0.965
220,0.94
221,0.965
222,0.955
223,0.955
224,0.8
225,0.905
226,0.95
227,0.93
228,0.935
229,0.81
230,0.935
231,0.965
232,0.905
233,0.895
234,0.935
235,0.95
236,0.895
237,0.95
238,0.965
239,0.895
240,0.93
241,0.935
242,0.965
243,0.935
244,0.94
245,0.965
246,0.98
247,0.955
248,0.945
249,0.975
250,0.95
251,0.94
252,0.96
253,0.955
254,0.88
255,0.955
256,0.93
257,0.9
258,0.885
259,0.94
260,0.815
261,0.965
262,0.975
263,0.915
264,0.785
265,0.955
266,0.94
267,0.96
268,0.95
269,0.985
270,0.95
271,0.94
272,0.975
273,0.86
274,0.865
275,0.93
276,0.925
277,0.975
278,0.935
279,0.965
280,0.87
281,0.89
282,0.925
283,0.94
284,0.96
285,0.94
286,0.96
287,0.955
288,0.905
289,0.98
290,0.945
291,0.93
292,0.925
293,0.95
294,0.94
295,0.925
296,0.945
297,0.93
298,0.975
299,0.945
300,0.935
301,0.975
302,0.9
303,0.94
304,0.95
305,0.955
306,0.965
307,0.925
308,0.93
309,0.895
310,0.935
311,0.95
312,0.975
313,0.945
