chunk,accuracy
0,0.0
1,0.11
2,0.335
3,0.445
4,0.385
5,0.51
6,0.54
7,0.49
8,0.675
9,0.64
10,0.795
11,0.825
12,0.82
13,0.855
14,0.74
15,0.835
16,0.9
17,0.865
18,0.775
19,0.83
20,0.895
21,0.875
22,0.93
23,0.87
24,0.94
25,0.895
26,0.925
27,0.925
28,0.915
29,0.94
30,0.875
31,0.895
32,0.925
33,0.9
34,0.955
35,0.905
36,0.76
37,0.885
38,0.925
39,0.935
40,0.915
41,0.895
42,0.89
43,0.78
44,0.93
45,0.895
46,0.945
47,0.95
48,0.735
49,0.945
50,0.86
51,0.935
52,0.91
53,0.925
54,0.885
55,0.91
56,0.895
57,0.93
58,0.93
59,0.85
60,0.935
61,0.815
62,0.92
63,0.89
64,0.915
65,0.885
66,0.96
67,0.93
68,0.92
69,0.93
70,0.845
71,0.915
72,0.94
73,0.945
74,0.94
75,0.89
76,0.87
77,0.925
78,0.895
79,0.975
80,0.81
81,0.865
82,0.93
83,0.8
84,0.915
85,0.805
86,0.89
87,0.84
88,0.87
89,0.94
90,0.785
91,0.915
92,0.935
93,0.97
94,0.965
95,0.92
96,0.845
97,0.945
98,0.91
99,0.875
100,0.875
101,0.77
102,0.915
103,0.94
104,0.875
105,0.945
106,0.93
107,0.82
108,0.945
109,0.945
110,0.95
111,0.825
112,0.93
113,0.94
114,0.895
115,0.915
116,0.98
117,0.915
118,0.82
119,0.915
120,0.915
121,0.92
122,0.955
123,0.95
124,0.97
125,0.935
126,0.935
127,0.94
128,0.925
129,0.945
130,0.91
131,0.975
132,0.93
133,0.945
134,0.965
135,0.965
136,0.865
137,0.88
138,0.925
139,0.885
140,0.845
141,0.905
142,0.945
143,0.93
144,0.96
145,0.97
146,0.95
147,0.925
148,0.96
149,0.95
150,0.955
151,0.9
152,0.93
153,0.93
154,0.95
155,0.92
156,0.945
157,0.95
158,0.965
159,0.95
160,0.93
161,0.87
162,0.945
163,0.955
164,0.93
165,0.97
166,0.96
167,0.97
168,0.94
169,0.955
170,0.94
171,0.925
172,0.94
173,0.9
174,0.975
175,0.945
176,0.96
177,0.89
178,0.885
179,0.975
180,0.99
181,0.97
182,0.9
183,0.945
184,0.945
185,0.965
186,0.96
187,0.96
188,0.93
189,0.94
190,0.95
191,0.965
192,0.92
193,0.945
194,0.965
195,0.955
196,0.92
197,0.97
198,0.95
199,0.955
200,0.96
201,0.975
202,0.9
203,0.975
204,0.95
205,0.99
206,0.91
207,0.97
208,0.985
209,0.945
210,0.975
211,0.965
212,0.95
213,0.965
214,0.945
215,0.955
216,0.975
217,0.955
218,0.98
219,0.99
220,0.985
221,0.965
222,0.975
223,0.965
224,0.985
225,0.975
226,0.97
227,0.97
228,0.96
229,0.965
230,0.935
231,0.97
232,0.975
233,0.955
234,0.96
235,0.92
236,0.965
237,0.93
238,0.96
239,0.95
240,0.955
241,0.94
242,0.97
243,0.985
244,0.81
245,0.955
246,0.965
247,0.98
248,0.96
249,0.985
250,0.965
251,0.955
252,0.975
253,0.97
254,0.965
255,0.965
256,0.955
257,0.94
258,0.965
259,0.975
260,0.92
261,0.94
262,0.99
263,0.965
264,0.975
265,0.98
266,0.95
267,0.94
268,0.98
269,0.985
270,0.965
271,0.98
272,0.99
273,0.98
274,0.955
275,0.985
276,0.95
277,0.97
278,0.975
279,0.87
280,0.94
281,0.945
282,0.96
283,0.98
284,0.98
285,0.925
286,0.975
287,0.97
288,0.975
289,0.985
290,0.965
291,0.975
292,0.965
293,0.975
294,0.96
295,0.945
296,0.97
297,0.97
298,0.985
299,0.955
300,0.965
301,0.985
302,0.98
303,0.96
304,0.975
305,0.975
306,0.935
307,0.975
308,0.975
309,0.97
310,0.99
311,0.965
312,0.99
313,0.965
